pair_id,source_url,canonical_url,contenido_transferido,contenido_descartado_por_repeticion,evidencia_de_igualdad,criterio_local_canonical,redirect_implementado,sitemap_actualizado,enlaces_internos_actualizados,resultado_final
13570,https://www.kronosolopromocionales.com/productos/mug-metalico-gillan-500-ml-nuevomas-13570/,https://www.kronosolopromocionales.com/productos/mug-metalico-gillan-500-ml-nuevo-13570/,ninguno — sin dato factual exclusivo relevante en la fuente,"features/useCases de la fuente (plantilla genérica sin dato factual nuevo, ya cubierto conceptualmente por el canónico)",misma imagen; sku final compartido 13570; categoryId canónico=mugs vs fuente=novedades,se mantiene el lado con description + quality_score + last_ai_update reales (contenido final del pipeline de IA) sobre el lado preliminar/plantilla,true,true,n/a (sin enlaces internos estáticos detectados hacia la fuente),IMPLEMENTED
13539,https://www.kronosolopromocionales.com/productos/resaltador-de-cera-seren-nuevomas-13539/,https://www.kronosolopromocionales.com/productos/resaltador-de-cera-seren-nuevo-13539/,ninguno — sin dato factual exclusivo relevante en la fuente,"features/useCases de la fuente (plantilla genérica sin dato factual nuevo, ya cubierto conceptualmente por el canónico)",misma imagen; sku final compartido 13539; categoryId canónico=escritura vs fuente=novedades,se mantiene el lado con description + quality_score + last_ai_update reales (contenido final del pipeline de IA) sobre el lado preliminar/plantilla,true,true,n/a (sin enlaces internos estáticos detectados hacia la fuente),IMPLEMENTED
13540,https://www.kronosolopromocionales.com/productos/lapiz-infinito-gemini-nuevomas-13540/,https://www.kronosolopromocionales.com/productos/lapiz-infinito-gemini-nuevo-13540/,ninguno — sin dato factual exclusivo relevante en la fuente,"features/useCases de la fuente (plantilla genérica sin dato factual nuevo, ya cubierto conceptualmente por el canónico)",misma imagen; sku final compartido 13540; categoryId canónico=escritura vs fuente=novedades,se mantiene el lado con description + quality_score + last_ai_update reales (contenido final del pipeline de IA) sobre el lado preliminar/plantilla,true,true,n/a (sin enlaces internos estáticos detectados hacia la fuente),IMPLEMENTED
13553,https://www.kronosolopromocionales.com/productos/bolsa-en-cambrel-soot-nuevomas-13553/,https://www.kronosolopromocionales.com/productos/bolsa-en-cambrel-soot-nuevo-13553/,ninguno — sin dato factual exclusivo relevante en la fuente,"features/useCases de la fuente (plantilla genérica sin dato factual nuevo, ya cubierto conceptualmente por el canónico)",misma imagen; sku final compartido 13553; categoryId canónico=maletines vs fuente=novedades,se mantiene el lado con description + quality_score + last_ai_update reales (contenido final del pipeline de IA) sobre el lado preliminar/plantilla,true,true,n/a (sin enlaces internos estáticos detectados hacia la fuente),IMPLEMENTED
13554,https://www.kronosolopromocionales.com/productos/bolsa-en-algodon-y-yute-nativ-300-gm-nuevomas-13554/,https://www.kronosolopromocionales.com/productos/bolsa-en-algodon-y-yute-nativ-300-gm-nuevo-13554/,ninguno — sin dato factual exclusivo relevante en la fuente,"features/useCases de la fuente (plantilla genérica sin dato factual nuevo, ya cubierto conceptualmente por el canónico)",misma imagen; sku final compartido 13554; categoryId canónico=maletines vs fuente=novedades,se mantiene el lado con description + quality_score + last_ai_update reales (contenido final del pipeline de IA) sobre el lado preliminar/plantilla,true,true,n/a (sin enlaces internos estáticos detectados hacia la fuente),IMPLEMENTED
13555,https://www.kronosolopromocionales.com/productos/bolsa-en-algodon-basic-300-gm-nuevomas-13555/,https://www.kronosolopromocionales.com/productos/bolsa-en-algodon-basic-300-gm-nuevo-13555/,ninguno — sin dato factual exclusivo relevante en la fuente,"features/useCases de la fuente (plantilla genérica sin dato factual nuevo, ya cubierto conceptualmente por el canónico)",misma imagen; sku final compartido 13555; categoryId canónico=maletines vs fuente=novedades,se mantiene el lado con description + quality_score + last_ai_update reales (contenido final del pipeline de IA) sobre el lado preliminar/plantilla,true,true,n/a (sin enlaces internos estáticos detectados hacia la fuente),IMPLEMENTED
13556,https://www.kronosolopromocionales.com/productos/planeador-semanal-week-nuevomas-13556/,https://www.kronosolopromocionales.com/productos/planeador-semanal-week-nuevo-13556/,ninguno — sin dato factual exclusivo relevante en la fuente,"features/useCases de la fuente (plantilla genérica sin dato factual nuevo, ya cubierto conceptualmente por el canónico)",misma imagen; sku final compartido 13556; categoryId canónico=oficina vs fuente=novedades,se mantiene el lado con description + quality_score + last_ai_update reales (contenido final del pipeline de IA) sobre el lado preliminar/plantilla,true,true,n/a (sin enlaces internos estáticos detectados hacia la fuente),IMPLEMENTED
13559,https://www.kronosolopromocionales.com/productos/mug-lume-350-ml-nuevomas-13559/,https://www.kronosolopromocionales.com/productos/mug-lume-350-ml-nuevo-13559/,ninguno — sin dato factual exclusivo relevante en la fuente,"features/useCases de la fuente (plantilla genérica sin dato factual nuevo, ya cubierto conceptualmente por el canónico)",misma imagen; sku final compartido 13559; categoryId canónico=mugs vs fuente=novedades,se mantiene el lado con description + quality_score + last_ai_update reales (contenido final del pipeline de IA) sobre el lado preliminar/plantilla,true,true,n/a (sin enlaces internos estáticos detectados hacia la fuente),IMPLEMENTED
13560,https://www.kronosolopromocionales.com/productos/paraguas-balan-23-nuevomas-13560/,https://www.kronosolopromocionales.com/productos/paraguas-balan-23-13560/,ninguno — sin dato factual exclusivo relevante en la fuente,"features/useCases de la fuente (plantilla genérica sin dato factual nuevo, ya cubierto conceptualmente por el canónico)",misma imagen; sku final compartido 13560; categoryId canónico=paraguas vs fuente=novedades,se mantiene el lado con description + quality_score + last_ai_update reales (contenido final del pipeline de IA) sobre el lado preliminar/plantilla,true,true,n/a (sin enlaces internos estáticos detectados hacia la fuente),IMPLEMENTED
10664,https://www.kronosolopromocionales.com/productos/boligrafo-aldrich-metalizadomas-10664/,https://www.kronosolopromocionales.com/productos/boligrafo-aldrich-metalizado-10664/,ninguno — sin dato factual exclusivo relevante en la fuente,"features/useCases de la fuente (plantilla genérica sin dato factual nuevo, ya cubierto conceptualmente por el canónico)",misma imagen; sku final compartido 10664; categoryId canónico=escritura vs fuente=ecologia,se mantiene el lado con description + quality_score + last_ai_update reales (contenido final del pipeline de IA) sobre el lado preliminar/plantilla,true,true,n/a (sin enlaces internos estáticos detectados hacia la fuente),IMPLEMENTED
10663,https://www.kronosolopromocionales.com/productos/boligrafo-aldrich-solidomas-10663/,https://www.kronosolopromocionales.com/productos/boligrafo-aldrich-solido-10663/,ninguno — sin dato factual exclusivo relevante en la fuente,"features/useCases de la fuente (plantilla genérica sin dato factual nuevo, ya cubierto conceptualmente por el canónico)",misma imagen; sku final compartido 10663; categoryId canónico=escritura vs fuente=ecologia,se mantiene el lado con description + quality_score + last_ai_update reales (contenido final del pipeline de IA) sobre el lado preliminar/plantilla,true,true,n/a (sin enlaces internos estáticos detectados hacia la fuente),IMPLEMENTED
10658,https://www.kronosolopromocionales.com/productos/boligrafo-baniri-bamboomas-10658/,https://www.kronosolopromocionales.com/productos/boligrafo-baniri-bamboo-10658/,ninguno — sin dato factual exclusivo relevante en la fuente,"features/useCases de la fuente (plantilla genérica sin dato factual nuevo, ya cubierto conceptualmente por el canónico)",misma imagen; sku final compartido 10658; categoryId canónico=escritura vs fuente=ecologia,se mantiene el lado con description + quality_score + last_ai_update reales (contenido final del pipeline de IA) sobre el lado preliminar/plantilla,true,true,n/a (sin enlaces internos estáticos detectados hacia la fuente),IMPLEMENTED
